id,display-name,url
177.stations.xmltv.tvmedia.ca,AMC - Eastern Feed,
65.stations.xmltv.tvmedia.ca,NewsNation - Eastern Feed,www.wgntv.com/
594.stations.xmltv.tvmedia.ca,ESPN,
650.stations.xmltv.tvmedia.ca,ESPN2,
4020.stations.xmltv.tvmedia.ca,NBC Sports Chicago,
1526.stations.xmltv.tvmedia.ca,The Weather Channel,www.weather.com
655.stations.xmltv.tvmedia.ca,MSNBC USA,
323.stations.xmltv.tvmedia.ca,BET - Eastern Feed,
1333.stations.xmltv.tvmedia.ca,Lifetime Movies - East,www.mylifetime.com/lmn
646.stations.xmltv.tvmedia.ca,Bravo USA - Eastern Feed,
333.stations.xmltv.tvmedia.ca,truTV USA - Eastern,www.trutv.com
652.stations.xmltv.tvmedia.ca,FX Networks East Coast,
5005.stations.xmltv.tvmedia.ca,TLC USA - Eastern,
201.stations.xmltv.tvmedia.ca,CNBC USA,
662.stations.xmltv.tvmedia.ca,Travel US - East,
1011.stations.xmltv.tvmedia.ca,Freeform - East Feed,www.freeform.go.com
4499.stations.xmltv.tvmedia.ca,Big Ten Network,
17744.stations.xmltv.tvmedia.ca,"CW (Week-TV3) Peoria, IL",www.week.com
1523.stations.xmltv.tvmedia.ca,SHOPHQ,www.vvtv.com
1305.stations.xmltv.tvmedia.ca,Univision - Eastern Feed,www.univision.com
14683.stations.xmltv.tvmedia.ca,QVC,
14985.stations.xmltv.tvmedia.ca,HSN  - Home Shopping Network,www.hsn.com
648.stations.xmltv.tvmedia.ca,C-SPAN,www.c-span.org
1050.stations.xmltv.tvmedia.ca,C-SPAN 2,www.c-span.org
1119.stations.xmltv.tvmedia.ca,TBN  - Trinity Broadcasting Network - East,
620.stations.xmltv.tvmedia.ca,EWTN USA,
19522.stations.xmltv.tvmedia.ca,TBN Inspire,www.tbn.org
3423.stations.xmltv.tvmedia.ca,C-SPAN 3,www.c-span.org/
1523.stations.xmltv.tvmedia.ca,SHOPHQ,www.vvtv.com
1082.stations.xmltv.tvmedia.ca,INSP,
19066.stations.xmltv.tvmedia.ca,Three Angels Broadcasting Network,www.3abn.org/
8584.stations.xmltv.tvmedia.ca,"PBS (WTTW) Chicago, IL HD",www.networkchicago.com/wttw/
8590.stations.xmltv.tvmedia.ca,"Create (WTTW-DT3) Chicago, IL",
8591.stations.xmltv.tvmedia.ca,"PBS Kids (WTTW4) Chicago, Il",
4604.stations.xmltv.tvmedia.ca,"Corner Store (WAOE) Central Illinois, IL HD",
33167.stations.xmltv.tvmedia.ca,"The Grio (WAOE2) Peoria, IL",
1050.stations.xmltv.tvmedia.ca,C-SPAN 2,www.c-span.org
3423.stations.xmltv.tvmedia.ca,C-SPAN 3,www.c-span.org/
19066.stations.xmltv.tvmedia.ca,Three Angels Broadcasting Network,www.3abn.org/
19522.stations.xmltv.tvmedia.ca,TBN Inspire,www.tbn.org
1119.stations.xmltv.tvmedia.ca,TBN  - Trinity Broadcasting Network - East,
1082.stations.xmltv.tvmedia.ca,INSP,
620.stations.xmltv.tvmedia.ca,EWTN USA,
4603.stations.xmltv.tvmedia.ca,"Corner Store (WAOE) Central Illinois, IL",
4595.stations.xmltv.tvmedia.ca,"ABC (WEEK-TV2) Peoria, IL",www.week.com
4601.stations.xmltv.tvmedia.ca,"NBC (WEEK) Bloomington, IL",www.week.com/
4597.stations.xmltv.tvmedia.ca,"FOX (WYZZ) Bloomington, IL",
4599.stations.xmltv.tvmedia.ca,"CBS (WMBD) Central Illinois, IL",www.wmbd.com/
17744.stations.xmltv.tvmedia.ca,"CW (Week-TV3) Peoria, IL",www.week.com
6188.stations.xmltv.tvmedia.ca,Local Programming,
648.stations.xmltv.tvmedia.ca,C-SPAN,www.c-span.org
1606.stations.xmltv.tvmedia.ca,"FOX (WFLD) Chicago, IL",
1831.stations.xmltv.tvmedia.ca,"NBC (WMAQ) Chicago, IL",www.nbc5.com/
1832.stations.xmltv.tvmedia.ca,"PBS (WTTW) Chicago, IL",www.networkchicago.com/wttw/
6115.stations.xmltv.tvmedia.ca,QVC HD,www.qvc.com
17312.stations.xmltv.tvmedia.ca,"GetTV (WYZZ-TV3) Peoria, IL",
4596.stations.xmltv.tvmedia.ca,"ABC (WEEK-DT2) Peoria, IL HD",www.week.com
4598.stations.xmltv.tvmedia.ca,"FOX (WYZZ) Bloomington, IL HD",
19128.stations.xmltv.tvmedia.ca,"CW (Week-DT3) Peoria, IL HD",www.week.com
17745.stations.xmltv.tvmedia.ca,"TBD TV (WHOI) Peoria, IL",www.hoinews.com/
17745.stations.xmltv.tvmedia.ca,"TBD TV (WHOI) Peoria, IL",www.hoinews.com/
4602.stations.xmltv.tvmedia.ca,"NBC (WEEK) Bloomington, IL HD",www.week.com/
4600.stations.xmltv.tvmedia.ca,"CBS (WMBD) Central Illinois, IL HD",www.wmbd.com/
33167.stations.xmltv.tvmedia.ca,"The Grio (WAOE2) Peoria, IL",
17312.stations.xmltv.tvmedia.ca,"GetTV (WYZZ-TV3) Peoria, IL",
10602.stations.xmltv.tvmedia.ca,"Bounce (WMBD-TV2) Central Illinois, IL",www.wmbd.com/
4584.stations.xmltv.tvmedia.ca,"Create (WILL-TV3) Urbana, IL",www.will.uiuc.edu/
8324.stations.xmltv.tvmedia.ca,"PBS Kids 24/7 (WILL-TV2) Urbana, IL",www.will.uiuc.edu/
1832.stations.xmltv.tvmedia.ca,"PBS (WTTW) Chicago, IL",www.networkchicago.com/wttw/
8590.stations.xmltv.tvmedia.ca,"Create (WTTW-DT3) Chicago, IL",
8591.stations.xmltv.tvmedia.ca,"PBS Kids (WTTW4) Chicago, Il",
14969.stations.xmltv.tvmedia.ca,H&I - Heroes & Icons Network,
9969.stations.xmltv.tvmedia.ca,NBC Sports Chicago Plus,
8822.stations.xmltv.tvmedia.ca,Big Ten Network Overflow 1,www.bigtennetwork.com
8823.stations.xmltv.tvmedia.ca,Big Ten Network Overflow 2,www.bigtennetwork.com
2108.stations.xmltv.tvmedia.ca,ESPN Deportes,
3115.stations.xmltv.tvmedia.ca,CBS Sports Network USA,
3352.stations.xmltv.tvmedia.ca,Stadium College Sports - Atlantic,www.foxsports.com
3351.stations.xmltv.tvmedia.ca,Stadium College Sports - Central,www.foxsports.com
3350.stations.xmltv.tvmedia.ca,Stadium College Sports - Pacific,www.foxsports.com
2075.stations.xmltv.tvmedia.ca,Sportsman Channel,www.thesportsmanchannel.com
